2	13	15	21	62	2	08/07/2018
9	28	30	54	60	2	08/03/2018
12	15	35	64	69	9	07/31/2018
1	32	40	49	63	20	07/27/2018
1	2	4	19	29	20	07/24/2018
1	14	30	44	62	1	07/20/2018
40	41	61	66	67	12	07/17/2018
21	22	39	59	68	2	07/13/2018
1	17	28	56	70	14	07/10/2018
2	10	46	50	56	16	07/06/2018
13	35	45	49	68	23	07/03/2018
2	32	47	49	68	23	06/29/2018
17	25	29	39	60	19	06/26/2018
2	6	11	27	44	20	06/22/2018
11	13	28	65	70	14	06/19/2018
1	11	37	47	51	6	06/15/2018
1	3	5	8	70	3	06/12/2018
14	30	33	44	56	13	06/08/2018
22	33	41	48	52	4	06/05/2018
5	24	52	62	66	17	06/01/2018
2	11	55	58	67	2	05/29/2018
11	14	51	64	68	25	05/25/2018
16	17	21	36	48	9	05/22/2018
9	26	53	64	66	11	05/18/2018
21	34	44	49	61	21	05/15/2018
14	38	40	53	70	22	05/11/2018
8	15	39	64	67	13	05/08/2018
4	5	10	12	18	21	05/04/2018
2	7	20	55	70	1	05/01/2018
2	29	38	63	66	11	04/27/2018
3	19	31	32	48	10	04/24/2018
1	15	18	32	45	4	04/20/2018
12	34	44	47	65	22	04/17/2018
8	9	32	42	59	10	04/13/2018
5	13	31	43	53	20	04/10/2018
16	33	51	54	67	20	04/06/2018
4	29	39	42	62	14	04/03/2018
11	28	31	46	59	1	03/30/2018
7	25	43	56	59	13	03/27/2018
4	8	23	53	59	17	03/23/2018
14	38	51	64	70	9	03/20/2018
1	13	26	33	52	11	03/16/2018
6	30	58	60	61	17	03/13/2018
7	17	18	46	66	22	03/09/2018
1	4	26	35	39	22	03/06/2018
24	28	42	60	64	8	03/02/2018
10	17	21	38	43	23	02/27/2018
7	11	13	19	58	9	02/23/2018
17	19	23	24	43	14	02/20/2018
14	38	48	53	58	16	02/16/2018
5	12	15	46	49	1	02/13/2018
28	34	41	46	47	14	02/09/2018
14	17	25	48	58	25	02/06/2018
1	4	14	17	40	4	02/02/2018
29	41	42	49	57	24	01/30/2018
10	16	27	38	43	1	01/26/2018
2	6	30	31	55	7	01/23/2018
3	17	23	49	66	23	01/19/2018
3	11	23	29	59	18	01/16/2018
17	18	33	46	60	24	01/12/2018
16	29	31	65	67	23	01/09/2018
28	30	39	59	70	10	01/05/2018
1	42	47	64	70	22	01/02/2018
4	10	18	28	62	7	12/29/2017
10	12	20	38	41	25	12/26/2017
1	20	30	33	42	16	12/22/2017
28	37	39	42	58	2	12/19/2017
4	12	36	44	57	19	12/15/2017
8	23	24	25	27	9	12/12/2017
6	37	46	60	70	24	12/08/2017
14	15	37	42	67	22	12/05/2017
16	22	40	41	59	8	12/01/2017
10	17	47	51	61	5	11/28/2017
16	36	54	61	64	22	11/24/2017
3	7	22	27	50	3	11/21/2017
3	26	55	58	70	15	11/17/2017
1	14	21	22	28	19	11/14/2017
6	23	38	42	58	24	11/10/2017
1	54	60	68	69	11	11/07/2017
10	22	42	61	69	3	11/03/2017
6	28	31	52	53	12	10/31/2017
17	27	41	51	52	13	10/27/2017
20	24	34	56	64	6	10/24/2017
